Epoch,Train Loss,Val Loss
Epoch: 176/1000, Train Loss=0.2254305273, Val Loss=0.3776235808
Epoch: 177/1000, Train Loss=0.2263109948, Val Loss=0.3736630792
Epoch: 178/1000, Train Loss=0.22222135, Val Loss=0.3861228795
Epoch: 179/1000, Train Loss=0.222766995, Val Loss=0.3789288175
Epoch: 180/1000, Train Loss=0.2223012775, Val Loss=0.3717430347
Epoch: 181/1000, Train Loss=0.2219513138, Val Loss=0.3709712568
Epoch: 182/1000, Train Loss=0.2206680108, Val Loss=0.3829773097
Epoch: 183/1000, Train Loss=0.2208039792, Val Loss=0.3739643438
Epoch: 184/1000, Train Loss=0.2164815439, Val Loss=0.3683163893
Epoch: 185/1000, Train Loss=0.2177895529, Val Loss=0.369481118
Epoch: 186/1000, Train Loss=0.2187350807, Val Loss=0.3722827179
Epoch: 187/1000, Train Loss=0.2162761511, Val Loss=0.3694366359
Epoch: 188/1000, Train Loss=0.2150294899, Val Loss=0.3698942122
Epoch: 189/1000, Train Loss=0.2144196491, Val Loss=0.3637831353
Epoch: 190/1000, Train Loss=0.2140521328, Val Loss=0.3741321308
Epoch: 191/1000, Train Loss=0.2144815965, Val Loss=0.3618373502
