Epoch,Train Loss,Val Loss
Epoch: 147/1000, Train Loss=0.8253904487, Val Loss=0.8230913537
Epoch: 148/1000, Train Loss=0.8259705736, Val Loss=0.8226465299
Epoch: 149/1000, Train Loss=0.8253087213, Val Loss=0.8245357218
Epoch: 150/1000, Train Loss=0.8252786728, Val Loss=0.8247936482
Epoch: 151/1000, Train Loss=0.8256169859, Val Loss=0.8251755834
Epoch: 152/1000, Train Loss=0.8259355762, Val Loss=0.8256140124
Epoch: 153/1000, Train Loss=0.8264937483, Val Loss=0.8249918535
Epoch: 154/1000, Train Loss=0.8268589478, Val Loss=0.8383443668
Epoch: 155/1000, Train Loss=0.8252111066, Val Loss=0.8301572374
Epoch: 156/1000, Train Loss=0.8255181259, Val Loss=0.8269264698
Epoch: 157/1000, Train Loss=0.8256847557, Val Loss=0.8238894883
Epoch: 158/1000, Train Loss=0.8239542452, Val Loss=0.8251445861
Epoch: 159/1000, Train Loss=0.8251605665, Val Loss=0.8269363131
Epoch: 160/1000, Train Loss=0.8248813111, Val Loss=0.831196731
Epoch: 161/1000, Train Loss=0.8246537819, Val Loss=0.826377494
Epoch: 162/1000, Train Loss=0.8239807327, Val Loss=0.8280275209
Epoch: 163/1000, Train Loss=0.8245126345, Val Loss=0.8217246107
Epoch: 164/1000, Train Loss=0.8240474586, Val Loss=0.8190582026
